DB_Entry,Display_Name
Honolulu    ,Pacific/Honolulu
Los Angeles ,America/Los_Angeles
Denver      ,America/Denver
Chicago     ,America/Chicago
Washington  ,America/New_York
Ponce       ,America/Puerto_Rico
Santiago    ,America/Santiago
Sao Paulo   ,America/Sao_Paulo
UTC         ,UTC
London      ,Europe/London
Lagos       ,Africa/Lagos
Rome        ,Europe/Rome
Jerusalem   ,Asia/Jerusalem
Moscow      ,Europe/Moscow
Dubai       ,Asia/Dubai
Kolkata     ,Asia/Calcutta
Bangkok     ,Asia/Bangkok
Jakarta     ,Asia/Jakarta
Hong Kong   ,Asia/Hong_Kong
Manila      ,Asia/Manila
Seoul       ,Asia/Seoul
Tokyo       ,Asia/Tokyo
Sydney      ,Australia/Sydney
Auckland    ,Pacific/Auckland
